node_id,signature,class_name,method_name,descriptor,external,entrypoint,methodname,accessflags,classname
Ljava/lang/reflect/TypeVariable; getGenericDeclaration ()Ljava/lang/reflect/GenericDeclaration;,Ljava/lang/reflect/TypeVariable; getGenericDeclaration ()Ljava/lang/reflect/GenericDeclaration;,,,()Ljava/lang/reflect/GenericDeclaration;,True,False,getGenericDeclaration,,Ljava/lang/reflect/TypeVariable;
Lcom/google/gson/internal/$Gson$Types; equal (Ljava/lang/Object; Ljava/lang/Object;)Z,Lcom/google/gson/internal/$Gson$Types; equal (Ljava/lang/Object; Ljava/lang/Object;)Z,,,(Ljava/lang/Object; Ljava/lang/Object;)Z,False,False,equal,private static,Lcom/google/gson/internal/$Gson$Types;
Ljava/util/Objects; equals (Ljava/lang/Object; Ljava/lang/Object;)Z,Ljava/util/Objects; equals (Ljava/lang/Object; Ljava/lang/Object;)Z,,,(Ljava/lang/Object; Ljava/lang/Object;)Z,True,False,equals,,Ljava/util/Objects;
Ljava/util/Arrays; equals ([Ljava/lang/Object; [Ljava/lang/Object;)Z,Ljava/util/Arrays; equals ([Ljava/lang/Object; [Ljava/lang/Object;)Z,,,([Ljava/lang/Object; [Ljava/lang/Object;)Z,True,False,equals,,Ljava/util/Arrays;
Ljava/lang/reflect/TypeVariable; getName ()Ljava/lang/String;,Ljava/lang/reflect/TypeVariable; getName ()Ljava/lang/String;,,,()Ljava/lang/String;,True,False,getName,,Ljava/lang/reflect/TypeVariable;
Lcom/google/gson/internal/$Gson$Types; getArrayComponentType (Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;,Lcom/google/gson/internal/$Gson$Types; getArrayComponentType (Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;,,,(Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;,False,False,getArrayComponentType,public static,Lcom/google/gson/internal/$Gson$Types;
Lcom/google/gson/internal/$Gson$Types; getCollectionElementType (Ljava/lang/reflect/Type; Ljava/lang/Class;)Ljava/lang/reflect/Type;,Lcom/google/gson/internal/$Gson$Types; getCollectionElementType (Ljava/lang/reflect/Type; Ljava/lang/Class;)Ljava/lang/reflect/Type;,,,(Ljava/lang/reflect/Type; Ljava/lang/Class;)Ljava/lang/reflect/Type;,False,False,getCollectionElementType,public static,Lcom/google/gson/internal/$Gson$Types;
Lcom/google/gson/internal/$Gson$Types; getSupertype (Ljava/lang/reflect/Type; Ljava/lang/Class; Ljava/lang/Class;)Ljava/lang/reflect/Type;,Lcom/google/gson/internal/$Gson$Types; getSupertype (Ljava/lang/reflect/Type; Ljava/lang/Class; Ljava/lang/Class;)Ljava/lang/reflect/Type;,,,(Ljava/lang/reflect/Type; Ljava/lang/Class; Ljava/lang/Class;)Ljava/lang/reflect/Type;,False,False,getSupertype,private static,Lcom/google/gson/internal/$Gson$Types;
Lcom/google/gson/internal/$Gson$Types; getGenericSupertype (Ljava/lang/reflect/Type; Ljava/lang/Class; Ljava/lang/Class;)Ljava/lang/reflect/Type;,Lcom/google/gson/internal/$Gson$Types; getGenericSupertype (Ljava/lang/reflect/Type; Ljava/lang/Class; Ljava/lang/Class;)Ljava/lang/reflect/Type;,,,(Ljava/lang/reflect/Type; Ljava/lang/Class; Ljava/lang/Class;)Ljava/lang/reflect/Type;,False,False,getGenericSupertype,private static,Lcom/google/gson/internal/$Gson$Types;
Ljava/lang/Class; getGenericSuperclass ()Ljava/lang/reflect/Type;,Ljava/lang/Class; getGenericSuperclass ()Ljava/lang/reflect/Type;,,,()Ljava/lang/reflect/Type;,True,False,getGenericSuperclass,,Ljava/lang/Class;
Ljava/lang/Class; isInterface ()Z,Ljava/lang/Class; isInterface ()Z,,,()Z,True,False,isInterface,,Ljava/lang/Class;
Ljava/lang/Class; getGenericInterfaces ()[Ljava/lang/reflect/Type;,Ljava/lang/Class; getGenericInterfaces ()[Ljava/lang/reflect/Type;,,,()[Ljava/lang/reflect/Type;,True,False,getGenericInterfaces,,Ljava/lang/Class;
Lcom/google/gson/internal/$Gson$Types; getMapKeyAndValueTypes (Ljava/lang/reflect/Type; Ljava/lang/Class;)[Ljava/lang/reflect/Type;,Lcom/google/gson/internal/$Gson$Types; getMapKeyAndValueTypes (Ljava/lang/reflect/Type; Ljava/lang/Class;)[Ljava/lang/reflect/Type;,,,(Ljava/lang/reflect/Type; Ljava/lang/Class;)[Ljava/lang/reflect/Type;,False,False,getMapKeyAndValueTypes,public static,Lcom/google/gson/internal/$Gson$Types;
Lcom/google/gson/internal/$Gson$Types; getRawType (Ljava/lang/reflect/Type;)Ljava/lang/Class;,Lcom/google/gson/internal/$Gson$Types; getRawType (Ljava/lang/reflect/Type;)Ljava/lang/Class;,,,(Ljava/lang/reflect/Type;)Ljava/lang/Class;,False,False,getRawType,public static,Lcom/google/gson/internal/$Gson$Types;
Lcom/google/gson/internal/$Gson$Types; resolve (Ljava/lang/reflect/Type; Ljava/lang/Class; Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;,Lcom/google/gson/internal/$Gson$Types; resolve (Ljava/lang/reflect/Type; Ljava/lang/Class; Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;,,,(Ljava/lang/reflect/Type; Ljava/lang/Class; Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;,False,False,resolve,public static,Lcom/google/gson/internal/$Gson$Types;
Lcom/google/gson/internal/$Gson$Types; indexOf ([Ljava/lang/Object; Ljava/lang/Object;)I,Lcom/google/gson/internal/$Gson$Types; indexOf ([Ljava/lang/Object; Ljava/lang/Object;)I,,,([Ljava/lang/Object; Ljava/lang/Object;)I,False,False,indexOf,private static,Lcom/google/gson/internal/$Gson$Types;
Lcom/google/gson/internal/$Gson$Types; newParameterizedTypeWithOwner (Ljava/lang/reflect/Type; Ljava/lang/reflect/Type; [Ljava/lang/reflect/Type;)Ljava/lang/reflect/ParameterizedType;,Lcom/google/gson/internal/$Gson$Types; newParameterizedTypeWithOwner (Ljava/lang/reflect/Type; Ljava/lang/reflect/Type; [Ljava/lang/reflect/Type;)Ljava/lang/reflect/ParameterizedType;,,,(Ljava/lang/reflect/Type; Ljava/lang/reflect/Type; [Ljava/lang/reflect/Type;)Ljava/lang/reflect/ParameterizedType;,False,False,newParameterizedTypeWithOwner,public static varargs,Lcom/google/gson/internal/$Gson$Types;
Lcom/google/gson/internal/$Gson$Types; resolve (Ljava/lang/reflect/Type; Ljava/lang/Class; Ljava/lang/reflect/Type; Ljava/util/Map;)Ljava/lang/reflect/Type;,Lcom/google/gson/internal/$Gson$Types; resolve (Ljava/lang/reflect/Type; Ljava/lang/Class; Ljava/lang/reflect/Type; Ljava/util/Map;)Ljava/lang/reflect/Type;,,,(Ljava/lang/reflect/Type; Ljava/lang/Class; Ljava/lang/reflect/Type; Ljava/util/Map;)Ljava/lang/reflect/Type;,False,False,resolve,private static,Lcom/google/gson/internal/$Gson$Types;
Lcom/google/gson/internal/$Gson$Types; supertypeOf (Ljava/lang/reflect/Type;)Ljava/lang/reflect/WildcardType;,Lcom/google/gson/internal/$Gson$Types; supertypeOf (Ljava/lang/reflect/Type;)Ljava/lang/reflect/WildcardType;,,,(Ljava/lang/reflect/Type;)Ljava/lang/reflect/WildcardType;,False,False,supertypeOf,public static,Lcom/google/gson/internal/$Gson$Types;
Lcom/google/gson/internal/$Gson$Types; subtypeOf (Ljava/lang/reflect/Type;)Ljava/lang/reflect/WildcardType;,Lcom/google/gson/internal/$Gson$Types; subtypeOf (Ljava/lang/reflect/Type;)Ljava/lang/reflect/WildcardType;,,,(Ljava/lang/reflect/Type;)Ljava/lang/reflect/WildcardType;,False,False,subtypeOf,public static,Lcom/google/gson/internal/$Gson$Types;
Lcom/google/gson/internal/$Gson$Types; resolveTypeVariable (Ljava/lang/reflect/Type; Ljava/lang/Class; Ljava/lang/reflect/TypeVariable;)Ljava/lang/reflect/Type;,Lcom/google/gson/internal/$Gson$Types; resolveTypeVariable (Ljava/lang/reflect/Type; Ljava/lang/Class; Ljava/lang/reflect/TypeVariable;)Ljava/lang/reflect/Type;,,,(Ljava/lang/reflect/Type; Ljava/lang/Class; Ljava/lang/reflect/TypeVariable;)Ljava/lang/reflect/Type;,False,False,resolveTypeVariable,private static,Lcom/google/gson/internal/$Gson$Types;
